GENE_ID,HIGH,LOW,MODERATE,MODIFIER,MODERATE_ratio_control,HIGH_ratio_control,LOW_ratio_control,MODIFIER_ratio_control
ENSG00000067248,2,0,0,3,0.0,0.4,0.0,0.6
ENSG00000067445,0,11,0,13,0.0,0.0,0.46,0.54
ENSG00000067533,0,0,0,2,0.0,0.0,0.0,1.0
ENSG00000067560,0,0,0,10,0.0,0.0,0.0,1.0
ENSG00000067704,0,0,2,0,1.0,0.0,0.0,0.0
ENSG00000067840,0,0,5,13,0.28,0.0,0.0,0.72
ENSG00000068001,0,0,0,10,0.0,0.0,0.0,1.0
ENSG00000068354,0,2,0,4,0.0,0.0,0.33,0.67
ENSG00000068438,0,0,4,10,0.29,0.0,0.0,0.71
ENSG00000068781,0,0,5,2,0.71,0.0,0.0,0.29
ENSG00000068784,0,1,0,1,0.0,0.0,0.5,0.5
ENSG00000068885,0,0,0,29,0.0,0.0,0.0,1.0
ENSG00000069020,0,0,12,0,1.0,0.0,0.0,0.0
ENSG00000069248,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000069345,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000069509,0,0,0,2,0.0,0.0,0.0,1.0
ENSG00000069535,0,0,3,2,0.6,0.0,0.0,0.4
ENSG00000069712,0,0,2,0,1.0,0.0,0.0,0.0
ENSG00000069869,0,4,0,5,0.0,0.0,0.44,0.56
ENSG00000070031,0,0,0,2,0.0,0.0,0.0,1.0
ENSG00000070087,0,0,0,34,0.0,0.0,0.0,1.0
ENSG00000070269,0,0,0,7,0.0,0.0,0.0,1.0
ENSG00000070404,0,1,2,9,0.17,0.0,0.08,0.75
ENSG00000070770,0,0,3,1,0.75,0.0,0.0,0.25
ENSG00000070778,0,4,5,9,0.28,0.0,0.22,0.5
ENSG00000070882,0,0,22,2,0.92,0.0,0.0,0.08
ENSG00000070985,0,5,5,5,0.33,0.0,0.33,0.33
ENSG00000071051,0,6,0,0,0.0,0.0,1.0,0.0
ENSG00000071246,0,0,0,2,0.0,0.0,0.0,1.0
ENSG00000071859,0,0,0,6,0.0,0.0,0.0,1.0
ENSG00000071994,0,0,7,7,0.5,0.0,0.0,0.5
ENSG00000072062,0,0,0,14,0.0,0.0,0.0,1.0
ENSG00000072080,0,3,0,0,0.0,0.0,1.0,0.0
ENSG00000072501,0,2,0,2,0.0,0.0,0.5,0.5
ENSG00000072756,0,3,0,0,0.0,0.0,1.0,0.0
ENSG00000072803,0,4,0,3,0.0,0.0,0.57,0.43
ENSG00000073050,0,0,2,0,1.0,0.0,0.0,0.0
ENSG00000073111,0,2,0,5,0.0,0.0,0.29,0.71
ENSG00000073711,0,1,0,1,0.0,0.0,0.5,0.5
ENSG00000073712,0,0,7,0,1.0,0.0,0.0,0.0
ENSG00000073803,0,0,7,3,0.7,0.0,0.0,0.3
ENSG00000074054,7,9,13,14,0.3,0.16,0.21,0.33
ENSG00000074201,0,6,0,0,0.0,0.0,1.0,0.0
ENSG00000074696,0,0,0,9,0.0,0.0,0.0,1.0
ENSG00000074803,0,5,0,10,0.0,0.0,0.33,0.67
ENSG00000074842,0,0,0,1,0.0,0.0,0.0,1.0
ENSG00000075131,0,0,0,10,0.0,0.0,0.0,1.0
