GENE_ID,GENE,number_case,number_control,case_control_ratio
ENSG00000022556,NLRP2,4,0,4
ENSG00000060069,CTDP1,13,13,0.0
ENSG00000012048,BRCA1,5,5,0.0
ENSG00000028137,TNFRSF1B,7,8,-0.14
ENSG00000025796,SEC63,12,11,0.08
ENSG00000035720,STAP1,9,6,0.33
ENSG00000060491,OGFR,9,9,0.0
ENSG00000013810,TACC3,4,0,4
ENSG00000062822,POLD1,17,17,0.0
ENSG00000026297,RNASET2,6,13,-1.17
ENSG00000038219,BOD1L1,0,4,-4
ENSG00000064932,SBNO2,8,9,-0.12
ENSG00000039139,DNAH5,4,5,-0.25
ENSG00000048052,HDAC9,0,10,-10
ENSG00000065000,AP3D1,13,14,-0.08
ENSG00000014257,ACP3,0,4,-4
ENSG00000049246,PER3,9,10,-0.11
ENSG00000065325,GLP2R,13,9,0.31
ENSG00000032444,PNPLA6,12,12,0.0
ENSG00000065361,ERBB3,7,0,7
ENSG00000029534,ANK1,4,4,0.0
ENSG00000033011,ALG1,7,8,-0.14
ENSG00000051341,POLQ,4,0,4
ENSG00000065485,PDIA5,13,17,-0.31
ENSG00000065526,SPEN,4,5,-0.25
ENSG00000035141,FAM136A,10,9,0.1
ENSG00000053747,LAMA3,4,0,4
ENSG00000067057,PFKP,11,4,0.64
ENSG00000046889,PREX2,8,13,-0.62
ENSG00000068793,name not found,13,9,0.31
ENSG00000027644,INSRR,5,0,5
ENSG00000035681,NSMAF,8,8,0.0
ENSG00000069188,SDK2,13,11,0.15
ENSG00000048471,SNX29,0,8,-8
ENSG00000037757,MRI1,0,5,-5
ENSG00000036448,MYOM2,11,13,-0.18
ENSG00000069696,DRD4,8,12,-0.5
ENSG00000023171,GRAMD1B,4,0,4
ENSG00000037280,FLT4,10,10,0.0
ENSG00000070366,SMG6,12,15,-0.25
ENSG00000049618,ARID1B,5,7,-0.4
ENSG00000038382,TRIO,5,5,0.0
ENSG00000071626,DAZAP1,13,12,0.08
ENSG00000050555,LAMC3,0,9,-9
ENSG00000072274,TFRC,8,7,0.12
ENSG00000051382,PIK3CB,5,0,5
ENSG00000072682,P4HA2,12,15,-0.25
