,GENE,GENE_ID
544,MYOTGINS4,ENSG00000120729ENSG00000147536
545,PKD2L2GINS4,ENSG00000078795ENSG00000147536
549,PKD2L2RP11-360L9.4,ENSG00000078795ENSG00000253133
551,RP11-381K20.2RP11-360L9.7,ENSG00000250159ENSG00000253174
552,PKD2L2RP11-360L9.7,ENSG00000078795ENSG00000253174
553,PKD2L2NKX6-3,ENSG00000078795ENSG00000165066
554,MYOTNKX6-3,ENSG00000120729ENSG00000165066
555,MYOTPLAT,ENSG00000120729ENSG00000104368
556,PKD2L2PLAT,ENSG00000078795ENSG00000104368
558,RP11-381K20.2PLAT,ENSG00000250159ENSG00000104368
560,FAM13BPLAT,ENSG00000031003ENSG00000104368
566,PKD2L2SLC20A2,ENSG00000078795ENSG00000168575
567,FAM13BSLC20A2,ENSG00000031003ENSG00000168575
571,FAM13BCHRNA6,ENSG00000031003ENSG00000147434
572,PKD2L2CHRNA6,ENSG00000078795ENSG00000147434
575,FAM13BRP11-1134I14.2,ENSG00000031003ENSG00000248347
576,FAM13BSPIDR,ENSG00000031003ENSG00000164808
579,WNT8ASPIDR,ENSG00000061492ENSG00000164808
583,BRD8SPIDR,ENSG00000112983ENSG00000164808
585,KIF20ASPIDR,ENSG00000112984ENSG00000164808
591,BRD8PRKDC,ENSG00000112983ENSG00000253729
595,BRD8SNAI2,ENSG00000112983ENSG00000019549
597,BRD8ST18,ENSG00000112983ENSG00000147488
598,KIF20AST18,ENSG00000112984ENSG00000147488
602,BRD8RB1CC1,ENSG00000112983ENSG00000023287
603,KIF20ARB1CC1,ENSG00000112984ENSG00000023287
605,CDC23RB1CC1,ENSG00000094880ENSG00000023287
617,CDC23LYPLA1,ENSG00000094880ENSG00000120992
618,RP11-256P1.1LYPLA1,ENSG00000249971ENSG00000120992
619,HSPA9LYPLA1,ENSG00000113013ENSG00000120992
629,HSPA9TGS1,ENSG00000113013ENSG00000137574
630,CTNNA1TGS1,ENSG00000044115ENSG00000137574
631,CTNNA1RPS20,ENSG00000044115ENSG00000008988
632,CTNNA1SNORD54,ENSG00000044115ENSG00000238650
641,CTNNA1CTA-397H3.3,ENSG00000044115ENSG00000253603
642,SLC23A1RPS20,ENSG00000170482ENSG00000008988
644,SLC23A1MOS,ENSG00000170482ENSG00000172680
646,SLC23A1CYP7A1,ENSG00000170482ENSG00000167910
648,SLC23A1snoU13,ENSG00000170482ENSG00000238433
649,MZB1snoU13,ENSG00000170476ENSG00000238433
650,MZB1CA8,ENSG00000170476ENSG00000178538
653,MZB1CLVS1,ENSG00000170476ENSG00000177182
654,MZB1RP11-787D18.1,ENSG00000170476ENSG00000253711
661,MZB1MTFR1,ENSG00000170476ENSG00000066855
669,SNORD45CRH,ENSG00000200051ENSG00000147571
670,SNORD45RRS1,ENSG00000200051ENSG00000179041
671,APBB3RP11-346I3.4,ENSG00000113108ENSG00000246145
672,APBB3RRS1,ENSG00000113108ENSG00000179041
674,APBB3RNA5SP268,ENSG00000113108ENSG00000252637
675,APBB3C8orf34,ENSG00000113108ENSG00000165084
678,APBB3RPS15AP25,ENSG00000113108ENSG00000236191
686,APBB3SULF1,ENSG00000113108ENSG00000137573
694,SLC35A4SULF1,ENSG00000176087ENSG00000137573
702,APBB3EYA1,ENSG00000113108ENSG00000104313
710,SLC35A4EYA1,ENSG00000176087ENSG00000104313
712,APBB3TERF1,ENSG00000113108ENSG00000147601
717,APBB3RP11-6I2.3,ENSG00000113108ENSG00000254288
718,APBB3RP11-6I2.4,ENSG00000113108ENSG00000253115
719,SLC35A4RP11-6I2.3,ENSG00000176087ENSG00000254288
720,SLC35A4RP11-6I2.4,ENSG00000176087ENSG00000253115
722,PCDHB5RP11-6I2.4,ENSG00000113209ENSG00000253115
723,PCDHB11JPH1,ENSG00000197479ENSG00000104369
727,PCDHGB8PZNF704,ENSG00000248449ENSG00000164684
730,PCDHGB8PCA2,ENSG00000248449ENSG00000104267
731,HDAC3CA2,ENSG00000171720ENSG00000104267
732,AC008781.7CA2,ENSG00000228737ENSG00000104267
735,HDAC3PSKH2,ENSG00000171720ENSG00000147613
744,HDAC3SLC7A13,ENSG00000171720ENSG00000164893
747,PCDH1CTD-3118D11.3,ENSG00000156453ENSG00000253699
748,PCDH1SLC7A13,ENSG00000156453ENSG00000164893
749,GNPDA1SLC7A13,ENSG00000113552ENSG00000164893
750,NDFIP1SLC7A13,ENSG00000131507ENSG00000164893
753,FGF1SLC7A13,ENSG00000113578ENSG00000164893
754,FGF1RIPK2,ENSG00000113578ENSG00000104312
757,FGF1OSGIN2,ENSG00000113578ENSG00000164823
758,AC005592.2OSGIN2,ENSG00000231185ENSG00000164823
760,FGF1NBN,ENSG00000113578ENSG00000104320
761,AC005592.2NBN,ENSG00000231185ENSG00000104320
765,KCTD16NBN,ENSG00000183775ENSG00000104320
767,PRELID2NBN,ENSG00000186314ENSG00000104320
768,PRELID2TMEM64,ENSG00000186314ENSG00000180694
771,PRELID2RP11-68L18.1,ENSG00000186314ENSG00000246792
776,PRELID2TMEM55A,ENSG00000186314ENSG00000155099
780,GPR151TMEM55A,ENSG00000173250ENSG00000155099
781,JAKMIP2OTUD6B,ENSG00000176049ENSG00000155100
783,JAKMIP2GS1-251I9.4,ENSG00000176049ENSG00000253738
786,ADRB2OTUD6B,ENSG00000169252ENSG00000155100
787,SH3TC2OTUD6B,ENSG00000169247ENSG00000155100
791,SH3TC2RBM12B,ENSG00000169247ENSG00000183808
793,SH3TC2RP11-10N23.4,ENSG00000169247ENSG00000253722
794,SH3TC2FAM92A1,ENSG00000169247ENSG00000188343
800,SH3TC2CDH17,ENSG00000169247ENSG00000079112
811,SH3TC2RNF19A,ENSG00000169247ENSG00000034677
823,PCYOX1LRNF19A,ENSG00000145882ENSG00000034677
824,PCYOX1LSNX31,ENSG00000145882ENSG00000174226
828,PCYOX1LYWHAZ,ENSG00000145882ENSG00000164924
830,IL17BYWHAZ,ENSG00000127743ENSG00000164924
831,RP11-394O4.3YWHAZ,ENSG00000253865ENSG00000164924
832,CSNK1A1YWHAZ,ENSG00000113712ENSG00000164924
843,RPL29P14YWHAZ,ENSG00000241112ENSG00000164924
849,PPARGC1BRRM2B,ENSG00000155846ENSG00000048392
851,PPARGC1BKB-431C1.4,ENSG00000155846ENSG00000246263
853,PPARGC1BSUMO2P19,ENSG00000155846ENSG00000253328
860,PPARGC1BDCSTAMP,ENSG00000155846ENSG00000164935
863,SLC6A7DCSTAMP,ENSG00000011083ENSG00000164935
864,SLC6A7RSPO2,ENSG00000011083ENSG00000147655
870,NDST1RSPO2,ENSG00000070614ENSG00000147655
872,CTB-140J7.2EIF3H,ENSG00000253852ENSG00000147677
873,RBM22EIF3H,ENSG00000086589ENSG00000147677
882,CTC-251D13.1EIF3H,ENSG00000271795ENSG00000147677
883,SPARCEIF3H,ENSG00000113140ENSG00000147677
892,SPARCMED30,ENSG00000113140ENSG00000164758
896,CTB-113P19.1MED30,ENSG00000249035ENSG00000164758
899,SPARCEXT1,ENSG00000113140ENSG00000182197
901,SPARCSAMD12,ENSG00000113140ENSG00000177570
904,G3BP1SAMD12,ENSG00000145907ENSG00000177570
906,RP11-54C4.1SAMD12,ENSG00000213433ENSG00000177570
908,G3BP1COLEC10,ENSG00000145907ENSG00000184374
909,RP11-54C4.1COLEC10,ENSG00000213433ENSG00000184374
